MS_NO,DIVISION_GROUP,DIVISION_NAME,DEPT_GROUP_NAME,DEPARTMENT_NAME,SUBDEPARTMENT_NAME,CLASS_NAME,SUBCLASS_NAME,ART_SV_NAME,ART_SV_NAME_ENG,ART_NO,ART_SV_NO,BARCODE,BRAND,MODEL_NO,EXTRA_INFO,DC_SUPPL_NO,DC_SUPPL_NAME
470300101,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047030 REFRESHER,04703001 AIR FRESHENERS,0470300101 AEROSOL FRESHENER,เกลดคลีนแอร์คลีนแอนด์เฟรช280มล,GLADE CLEAN AIR CLEAN&FRESH280,100870134,0,8850175012306,GLADE,280ML,NMD280726,9110142,9110142 : BPINDC-XDOCK(42)
470300103,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047030 REFRESHER,04703001 AIR FRESHENERS,0470300103 GEL FRESHENER,เกลดเซ็นเต็ดเจลมะลิ  180กรัม,GLADE SCENTED GEL JASMINE 180G,100870572,0,8850175012290,GLADE,180G.,NMD120326,9300242,9300242 : DC LAOS SOLE X-DOCK
470300103,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047030 REFRESHER,04703001 AIR FRESHENERS,0470300103 GEL FRESHENER,เกลดเซ็นเต็ดเจลลาเวนเดอร์ 180กรัม,GLADE SCENTED GEL LAVENDER 180G,100923975,0,8850175012276,GLADE,180G.,NMD300726,9110142,9110142 : BPINDC-XDOCK(42)
470300101,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047030 REFRESHER,04703001 AIR FRESHENERS,0470300101 AEROSOL FRESHENER,เกลดออโตสเปรโอเชียนเอสเคป252มล,Gld AtmtcSpry OcnEscp 252ml,102161355,0,8850175011408,GLADE,GldOcnEscp252ml,NMD250626,9110141,9110141 : BPINDC-STOCKING(41)
470300101,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047030 REFRESHER,04703001 AIR FRESHENERS,0470300101 AEROSOL FRESHENER,เกลดออโตสเปรลาเวนเดอ252มล,Gld AtmtcSpry LVD 252ml,102161359,0,8850175011392,GLADE,GldSpryLVD252ml,NMD250626,9110141,9110141 : BPINDC-STOCKING(41)
470300103,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047030 REFRESHER,04703001 AIR FRESHENERS,0470300103 GEL FRESHENER,เกลด เจล 70 กรัม เลมอน,GLADE GEL LEMON 70G.,102155680,0,8850175010821,GLADE,70G.,NMD280726,9110142,9110142 : BPINDC-XDOCK(42)
470300103,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047030 REFRESHER,04703001 AIR FRESHENERS,0470300103 GEL FRESHENER,เกลดเซ็นเต็ดเจลโอเชี่ยนเอสเคป 180กรัม,GLADE SCENTED GEL OCEAN ESCAPE 180G,102069738,0,8850175010500,GLADE,180G.,NMD140726,9110142,9110142 : BPINDC-XDOCK(42)
470300101,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047030 REFRESHER,04703001 AIR FRESHENERS,0470300101 AEROSOL FRESHENER,เกลดสเปรย์ โอเชี่ยนเอสเคป,GLD SPRY OCN ESCP SHK3 320ML/4 TH,102069737,0,8850175010487,GLADE,320ML.,NMD250726,9110141,9110141 : BPINDC-STOCKING(41)
470300103,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047030 REFRESHER,04703001 AIR FRESHENERS,0470300103 GEL FRESHENER,เกลดเซ็นท์เต็ดเจลฟลอรัล 180ก. แพค3,GLAD SCENTED GEL FLORAL 180G PACK3,102424839,0,8850175010142,GLADE,NO_MODEL,PMD021120,,
470300103,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047030 REFRESHER,04703001 AIR FRESHENERS,0470300103 GEL FRESHENER,เกลดเซ็นเต็ดเจลฟลอรัล 180กรัม,GLADE SCENTED GEL FLORAL PERFECTION 180G,101934365,0,8850175010111,GLADE,180G.,NMD140726,9110142,9110142 : BPINDC-XDOCK(42)
