DIVISION_NAME,DEPT_GROUP_NAME,DEPARTMENT_NAME,SUBDEPARTMENT_NAME,CLASS_NAME,SUBCLASS_NAME,ART_SV_NAME
03 SOFT LINE,0350 FOOTWEAR,0350 FOOTWEAR,035021 MEN SHOES,03502102 SANDALS,0350210201 STRAP,GAMBOLบุรุษCN52052น้ำตาล42
03 SOFT LINE,0350 FOOTWEAR,0350 FOOTWEAR,035021 MEN SHOES,03502102 SANDALS,0350210201 STRAP,GAMBOLบุรุษCN52052น้ำตาล43
03 SOFT LINE,0350 FOOTWEAR,0350 FOOTWEAR,035021 MEN SHOES,03502102 SANDALS,0350210201 STRAP,GAMBOLบุรุษCN52052น้ำตาล44
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042010 SNACKS,04201004 NUTS/SEEDS,0420100402 NUTS,ดอยตุงแมคคาเดเมียเกลือ150กรัม
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042010 SNACKS,04201004 NUTS/SEEDS,0420100402 NUTS,ดอยตุงแมคคาดาเมียนัทกลือ 50 ก
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041020 HOT DRINK,04102001 COFFEE,0410200102 ROAST/GROUND,ดอยตุงกาแฟคั่วอาราคาสิคโรส200ก
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041020 HOT DRINK,04102001 COFFEE,0410200102 ROAST/GROUND,ดอยตุง กาแฟคั่วเอสเพรโซโรส200ก
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041020 HOT DRINK,04102001 COFFEE,0410200102 ROAST/GROUND,ดอยตุง เมล็ดกาแฟคลาสสิค200ก.
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041020 HOT DRINK,04102001 COFFEE,0410200102 ROAST/GROUND,ดอยตุง เมล็ดกาแฟเอสเปรสโซ200ก.
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042010 SNACKS,04201004 NUTS/SEEDS,0420100402 NUTS,ดอยตุงแมคคาเดเมียธรรมชาติ150ก.
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042010 SNACKS,04201004 NUTS/SEEDS,0420100402 NUTS,ดอยตุงแมคาเดเมียนัทธรรมชาติ50ก
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042060 BISCUITS,04206001 BISCUITS/ WAFERS,0420600101 BISCUITS/ COOKIES,ดอยตุง คุกกี้รสดั้งเดิม120กรัม
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042060 BISCUITS,04206001 BISCUITS/ WAFERS,0420600101 BISCUITS/ COOKIES,ดอยตุง คุกกี้รสช็อกโก120กรัม
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041020 HOT DRINK,04102001 COFFEE,0410200102 ROAST/GROUND,ดอยตุงกาแฟคั่วบดมีเดียมโรส60ก
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041020 HOT DRINK,04102001 COFFEE,0410200102 ROAST/GROUND,ดอยตุงกาแฟคัวบดถุงกรองดาโรส60ก
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041020 HOT DRINK,04102001 COFFEE,0410200101 INSTANT COFFEE,ดอยตุง กาแฟแคปซูลคั่วกลาง 54ก.
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041020 HOT DRINK,04102001 COFFEE,0410200101 INSTANT COFFEE,ดอยตุง กาแฟแคปซูลคั่วเข้ม 54ก.
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041020 HOT DRINK,04102001 COFFEE,0410200102 ROAST/GROUND,ดอยตุงกาแฟแคปซูลคั่วกลาง7.5ก12
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041020 HOT DRINK,04102001 COFFEE,0410200102 ROAST/GROUND,ดอยตุงกาแฟแคปซูลคั่วเข้ม7.5ก12
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041020 HOT DRINK,04102001 COFFEE,0410200102 ROAST/GROUND,ดอยตุงแคปซูลคัวเข้มพิเศษ7.5ก12
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,0250 STATIONERY & EDUTAINMENT,025020 PEN & OFFICE,02502021 WRITING INSTRUMENT,0250202102 PENCIL,BHP ดินสอไม้ HB P.50
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,0250 STATIONERY & EDUTAINMENT,025020 PEN & OFFICE,02502021 WRITING INSTRUMENT,0250202102 PENCIL,BHPดินสอต่อไส้CYL P50
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,0250 STATIONERY & EDUTAINMENT,025020 PEN & OFFICE,02502021 WRITING INSTRUMENT,0250202101 PEN,ลูกลื่นแบบกด A
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,0250 STATIONERY & EDUTAINMENT,025020 PEN & OFFICE,02502021 WRITING INSTRUMENT,0250202101 PEN,BHPปากกาปลอกG7Cนง P.3
03 SOFT LINE,0312 LADIES ACCESSORIES,0312 LADIES ACCESSORIES,031210 LADIES ACCESSORIES,03121004 SUNGLASSES,0312100401 READERS,แว่นตา+กรอบเลนส์
03 SOFT LINE,0312 LADIES ACCESSORIES,0312 LADIES ACCESSORIES,031210 LADIES ACCESSORIES,03121011 RAINNY,0312101103 RAINCOAT,OUT2เสื้อกันฝนคละแบบ 79
05 FRESH FOOD,0530 PRODUCE,0530 PRODUCE,053030 VEGETABLES,05303008 DRY&PICKLED,0530300808 PICKLED,ไช้โป้วหวาน 200G (ฝอย) ตราชฏา
05 FRESH FOOD,0530 PRODUCE,0530 PRODUCE,053030 VEGETABLES,05303008 DRY&PICKLED,0530300808 PICKLED,ไช้โป้วหวาน 200G (สับ) ตราชฏา
05 FRESH FOOD,0530 PRODUCE,0530 PRODUCE,053030 VEGETABLES,05303008 DRY&PICKLED,0530300808 PICKLED,ไช้โป้วหวาน 200G (หัวหวาน) ตราชฏา
04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045040 BEER,04504002 IMPORT,0450400201 IMPORT,เบียร์อาซาฮี330ซซ กระป๋อง P6
04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045040 BEER,04504001 LOCAL,0450400101 PREMIUM,เบียร์อาซาฮี 620CC.
04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045040 BEER,04504002 IMPORT,0450400201 IMPORT,เบียร์อาซาฮี330CC.ขวดเล็ก
